Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
RR0503-41JPC,,,,0.025,0.025,,,,,,0.025,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.045,0.045,,,,,,0.045,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.065,0.065,,,,,,0.065,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.085,0.085,,,,,,0.085,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.125,0.125,,,,,,0.125,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.145,0.145,,,,,,0.145,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.185,0.185,,,,,,0.185,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.20500000000000002,0.20500000000000002,,,,,,0.20500000000000002,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.245,0.245,,,,,,0.245,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.265,0.265,,,,,,0.265,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.28500000000000003,0.28500000000000003,,,,,,0.28500000000000003,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.305,0.305,,,,,,0.305,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.325,0.325,,,,,,0.325,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.34500000000000003,0.34500000000000003,,,,,,0.34500000000000003,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.365,0.365,,,,,,0.365,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.385,0.385,,,,,,0.385,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.405,0.405,,,,,,0.405,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.425,0.425,,,,,,0.425,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.445,0.445,,,,,,0.445,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.465,0.465,,,,,,0.465,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.485,0.485,,,,,,0.485,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.505,0.505,,,,,,0.505,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.525,0.525,,,,,,0.525,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.545,0.545,,,,,,0.545,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.5650000000000001,0.5650000000000001,,,,,,0.5650000000000001,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.585,0.585,,,,,,0.585,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.605,0.605,,,,,,0.605,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.625,0.625,,,,,,0.625,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.645,0.645,,,,,,0.645,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.665,0.665,,,,,,0.665,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.685,0.685,,,,,,0.685,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.705,0.705,,,,,,0.705,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.725,0.725,,,,,,0.725,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.745,0.745,,,,,,0.745,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.765,0.765,,,,,,0.765,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.785,0.785,,,,,,0.785,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.805,0.805,,,,,,0.805,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.8250000000000001,0.8250000000000001,,,,,,0.8250000000000001,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.845,0.845,,,,,,0.845,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.865,0.865,,,,,,0.865,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.905,0.905,,,,,,0.905,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.925,0.925,,,,,,0.925,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.9450000000000001,0.9450000000000001,,,,,,0.9450000000000001,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.965,0.965,,,,,,0.965,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,0.985,0.985,,,,,,0.985,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.0050000000000001,1.0050000000000001,,,,,,1.0050000000000001,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.025,1.025,,,,,,1.025,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.065,1.065,,,,,,1.065,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.085,1.085,,,,,,1.085,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.125,1.125,,,,,,1.125,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.145,1.145,,,,,,1.145,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.165,1.165,,,,,,1.165,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.185,1.185,,,,,,1.185,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.205,1.205,,,,,,1.205,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.225,1.225,,,,,,1.225,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.245,1.245,,,,,,1.245,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.2650000000000001,1.2650000000000001,,,,,,1.2650000000000001,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.285,1.285,,,,,,1.285,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.305,1.305,,,,,,1.305,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.325,1.325,,,,,,1.325,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.345,1.345,,,,,,1.345,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.365,1.365,,,,,,1.365,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.405,1.405,,,,,,1.405,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.445,1.445,,,,,,1.445,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.465,1.465,,,,,,1.465,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.485,1.485,,,,,,1.485,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.5250000000000001,1.5250000000000001,,,,,,1.5250000000000001,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.565,1.565,,,,,,1.565,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.665,1.665,,,,,,1.665,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.685,1.685,,,,,,1.685,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.705,1.705,,,,,,1.705,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.725,1.725,,,,,,1.725,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.745,1.745,,,,,,1.745,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.805,1.805,,,,,,1.805,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.825,1.825,,,,,,1.825,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.845,1.845,,,,,,1.845,depth model associated with Cibicidoides data,
RR0503-41JPC,,,,1.865,1.865,,,,,,1.865,depth model associated with Cibicidoides data,
